N,종목명,현재가,전일비,등락률,액면가,매출액,자산총계,영업이익
1.0,삼성전자,55700.0,"상승  1,300",+2.39%,100.0,2589355.0,4559060.0,65670.0
2.0,SK하이닉스,192900.0,"상승  11,000",+6.05%,5000.0,327657.0,1003302.0,-77303.0
3.0,LG에너지솔루션,362500.0,"상승  6,500",+1.83%,500.0,337455.0,454371.0,21632.0
4.0,삼성바이오로직스,941000.0,"상승  1,000",+0.11%,2500.0,36946.0,160462.0,11137.0
5.0,현대차,210000.0,"하락  3,000",-1.41%,5000.0,1626636.0,2824634.0,151269.0
6.0,기아,100000.0,하락  700,-0.70%,5000.0,998084.0,806278.0,116079.0
7.0,셀트리온,182500.0,"상승  1,600",+0.88%,1000.0,21764.0,199175.0,6515.0
8.0,삼성전자우,45950.0,상승  850,+1.88%,100.0,,,
9.0,KB금융,85000.0,"상승  1,200",+1.43%,5000.0,774828.0,7157382.0,64353.0
10.0,NAVER,207500.0,"상승  7,000",+3.49%,100.0,96706.0,357378.0,14888.0
11.0,HD현대중공업,285500.0,보합0,0.00%,5000.0,119639.0,171336.0,1786.0
12.0,신한지주,48450.0,상승  250,+0.52%,5000.0,394329.0,6917953.0,61009.0
13.0,현대모비스,242000.0,"하락  4,500",-1.83%,5000.0,592544.0,585858.0,22953.0
14.0,POSCO홀딩스,262000.0,"상승  3,000",+1.16%,5000.0,771272.0,1009454.0,35314.0
15.0,삼성물산,115300.0,하락  300,-0.26%,100.0,418957.0,661270.0,28702.0
16.0,메리츠금융지주,104100.0,"하락  1,700",-1.61%,500.0,585584.0,1022358.0,29335.0
17.0,고려아연,931000.0,"하락  17,000",-1.79%,5000.0,97045.0,120461.0,6599.0
18.0,삼성생명,90800.0,"하락  2,400",-2.58%,500.0,309370.0,3146551.0,23984.0
19.0,LG화학,256000.0,"상승  2,500",+0.99%,5000.0,552498.0,774667.0,25292.0
20.0,SK이노베이션,119100.0,상승  100,+0.08%,5000.0,772885.0,808355.0,19039.0
21.0,카카오,38800.0,상승  750,+1.97%,100.0,75570.0,251800.0,4609.0
22.0,삼성SDI,247000.0,보합0,0.00%,5000.0,227083.0,340389.0,16334.0
23.0,삼성화재,355000.0,"하락  1,500",-0.42%,500.0,208247.0,850190.0,23573.0
24.0,한화에어로스페이스,364000.0,"상승  2,000",+0.55%,5000.0,93590.0,195429.0,6911.0
25.0,HMM,18830.0,상승  460,+2.50%,5000.0,84010.0,257134.0,5848.0
26.0,크래프톤,344500.0,"상승  9,500",+2.84%,100.0,19106.0,64405.0,7680.0
27.0,하나금융지주,57200.0,상승  200,+0.35%,5000.0,696936.0,5919260.0,46934.0
28.0,HD한국조선해양,224000.0,"상승  1,000",+0.45%,5000.0,212962.0,322426.0,2823.0
29.0,HD현대일렉트릭,393500.0,"하락  6,500",-1.62%,5000.0,27028.0,29102.0,3152.0
30.0,LG전자,85200.0,상승  100,+0.12%,5000.0,842278.0,602408.0,35491.0
31.0,KT&G,102900.0,"하락  2,800",-2.65%,5000.0,58626.0,127725.0,11673.0
32.0,한국전력,20000.0,보합0,0.00%,5000.0,882195.0,2397150.0,-45416.0
33.0,SK스퀘어,89700.0,"상승  5,300",+6.28%,100.0,2239.0,179700.0,-23397.0
34.0,SK텔레콤,55900.0,하락  800,-1.41%,100.0,176085.0,301192.0,17532.0
35.0,두산에너빌리티,18500.0,상승  300,+1.65%,5000.0,175899.0,246408.0,14673.0
36.0,LG,74400.0,상승  300,+0.40%,5000.0,74453.0,302531.0,15890.0
37.0,한화오션,37600.0,상승  250,+0.67%,5000.0,74083.0,139448.0,-1965.0
38.0,포스코퓨처엠,148500.0,"상승  2,200",+1.50%,500.0,47599.0,63346.0,359.0
39.0,기업은행,14360.0,상승  10,+0.07%,5000.0,286238.0,4484273.0,34323.0
40.0,우리금융지주,15300.0,상승  40,+0.26%,5000.0,419863.0,4980049.0,34990.0
41.0,KT,44350.0,하락  150,-0.34%,5000.0,263763.0,427100.0,16498.0
42.0,카카오뱅크,21700.0,상승  250,+1.17%,5000.0,24940.0,544882.0,4785.0
43.0,삼성중공업,11370.0,하락  40,-0.35%,1000.0,80094.0,155934.0,2333.0
44.0,삼성에스디에스,129300.0,"상승  1,300",+1.02%,500.0,132768.0,123210.0,8082.0
45.0,SK,136900.0,"상승  1,900",+1.41%,200.0,1312379.0,2069703.0,50564.0
46.0,삼성전기,131800.0,"상승  9,500",+7.77%,5000.0,89094.0,116579.0,6394.0
47.0,현대글로비스,131200.0,"하락  3,300",-2.45%,500.0,256832.0,147250.0,15540.0
48.0,유한양행,119000.0,하락  200,-0.17%,1000.0,18590.0,28141.0,568.0
49.0,한미반도체,98500.0,"상승  5,200",+5.57%,100.0,1590.0,7238.0,346.0
50.0,KODEX CD금리액티브(합성),1059035.0,상승  75,+0.01%,0.0,,,
51.0,SK바이오팜,109500.0,상승  300,+0.27%,500.0,3549.0,7232.0,-375.0
52.0,대한항공,23250.0,하락  200,-0.85%,5000.0,161118.0,303918.0,17901.0
53.0,하이브,203500.0,"상승  2,500",+1.24%,500.0,21781.0,53457.0,2956.0
54.0,포스코인터내셔널,41700.0,하락  200,-0.48%,5000.0,331328.0,166177.0,11631.0
55.0,DB손해보험,102500.0,하락  100,-0.10%,500.0,197613.0,600404.0,22350.0
56.0,TIGER 미국S&P500,21745.0,상승  230,+1.07%,0.0,,,
57.0,아모레퍼시픽,116600.0,"상승  8,500",+7.86%,500.0,36740.0,58865.0,1082.0
58.0,HD현대마린솔루션,150000.0,"하락  2,000",-1.32%,500.0,14305.0,6566.0,2015.0
59.0,S-Oil,58800.0,상승  400,+0.68%,2500.0,357267.0,215761.0,13546.0
60.0,HD현대,82300.0,"하락  1,900",-2.26%,1000.0,613313.0,679828.0,20316.0
61.0,TIGER CD금리투자KIS(합성),55500.0,보합0,0.00%,0.0,,,
62.0,KODEX 200,33120.0,상승  490,+1.50%,0.0,,,
63.0,현대로템,51900.0,하락  100,-0.19%,5000.0,35874.0,52415.0,2100.0
64.0,LIG넥스원,253000.0,"하락  7,000",-2.69%,5000.0,23086.0,38158.0,1864.0
65.0,현대차2우B,155300.0,"하락  2,400",-1.52%,5000.0,,,
66.0,한국항공우주,55900.0,하락  100,-0.18%,5000.0,38193.0,71396.0,2475.0
67.0,삼양식품,723000.0,"하락  18,000",-2.43%,5000.0,11929.0,11703.0,1475.0
68.0,LS ELECTRIC,173100.0,"하락  1,100",-0.63%,5000.0,42305.0,37329.0,3249.0
69.0,HD현대미포,128200.0,상승  300,+0.23%,5000.0,40391.0,49091.0,-1529.0
70.0,맥쿼리인프라,10620.0,보합0,0.00%,0.0,,,
71.0,한진칼,75500.0,상승  900,+1.21%,2500.0,2757.0,37849.0,428.0
72.0,한국타이어앤테크놀로지,39950.0,상승  400,+1.01%,500.0,89396.0,127633.0,13279.0
73.0,LG생활건강,313000.0,"상승  1,000",+0.32%,5000.0,68048.0,72203.0,4870.0
74.0,두산,294000.0,"상승  4,500",+1.55%,5000.0,191301.0,282868.0,14363.0
75.0,에코프로머티,68200.0,"상승  2,100",+3.18%,500.0,9525.0,11042.0,88.0
76.0,미래에셋증권,8120.0,하락  20,-0.25%,5000.0,203566.0,1281773.0,5210.0
77.0,코웨이,63700.0,"하락  1,700",-2.60%,500.0,39665.0,48510.0,7313.0
78.0,LG디스플레이,9340.0,상승  150,+1.63%,5000.0,213308.0,357593.0,-25102.0
79.0,LG유플러스,10360.0,하락  90,-0.86%,5000.0,143726.0,201006.0,9980.0
80.0,TIGER 미국나스닥100,139385.0,"상승  1,875",+1.36%,0.0,,,
81.0,넷마블,52200.0,하락  300,-0.57%,100.0,25021.0,79159.0,-685.0
82.0,삼성카드,38700.0,상승  300,+0.78%,5000.0,40042.0,288065.0,8100.0
83.0,한화시스템,23600.0,보합0,0.00%,5000.0,24531.0,44832.0,929.0
84.0,KODEX 머니마켓액티브,101615.0,상승  10,+0.01%,0.0,,,
85.0,NH투자증권,13530.0,하락  60,-0.44%,5000.0,103712.0,566979.0,7258.0
86.0,SKC,117000.0,보합0,0.00%,5000.0,15708.0,70323.0,-2163.0
87.0,KODEX KOFR금리액티브(합성),109150.0,상승  10,+0.01%,0.0,,,
88.0,두산밥캣,43350.0,하락  50,-0.12%,500.0,97589.0,103718.0,13899.0
89.0,두산로보틱스,65500.0,보합0,0.00%,500.0,530.0,4564.0,-192.0
90.0,엔씨소프트,190700.0,"상승  1,700",+0.90%,500.0,17798.0,43938.0,1373.0
91.0,LG이노텍,170500.0,"상승  10,200",+6.36%,5000.0,206053.0,112043.0,8308.0
92.0,오리온,101700.0,"하락  1,200",-1.17%,500.0,29124.0,35214.0,4924.0
93.0,한국금융지주,71900.0,상승  800,+1.13%,5000.0,230785.0,959012.0,8204.0
94.0,SK바이오사이언스,49550.0,상승  200,+0.41%,500.0,3695.0,18524.0,-120.0
95.0,CJ제일제당,252500.0,"상승  1,000",+0.40%,5000.0,290235.0,296063.0,12916.0
96.0,효성중공업,406500.0,"하락  11,000",-2.63%,5000.0,43006.0,47613.0,2578.0
97.0,삼성증권,42400.0,하락  550,-1.28%,5000.0,131684.0,565079.0,7411.0
98.0,시프트업,62700.0,"상승  2,300",+3.81%,200.0,1686.0,2039.0,1111.0
99.0,현대오토에버,132900.0,상승  600,+0.45%,500.0,30650.0,28431.0,1814.0
100.0,카카오페이,27000.0,하락  100,-0.37%,500.0,6154.0,39665.0,-566.0
101.0,GS,39150.0,보합0,0.00%,5000.0,259785.0,344484.0,37218.0
102.0,현대차우,152300.0,"하락  1,900",-1.23%,5000.0,,,
103.0,한미약품,283000.0,보합0,0.00%,2500.0,14909.0,18987.0,2207.0
104.0,TIGER KOFR금리액티브(합성),107655.0,보합0,0.00%,0.0,,,
105.0,KODEX 미국S&P500TR,19945.0,상승  235,+1.19%,0.0,,,
106.0,강원랜드,16050.0,하락  10,-0.06%,500.0,13886.0,44487.0,2823.0
107.0,삼성E&A,17080.0,상승  180,+1.07%,5000.0,106249.0,78014.0,9931.0
108.0,BNK금융지주,10300.0,하락  160,-1.53%,5000.0,96642.0,1457836.0,8012.0
109.0,한국가스공사,34800.0,상승  100,+0.29%,5000.0,445560.0,572547.0,15534.0
110.0,TIGER 미국테크TOP10 INDXX,25640.0,상승  305,+1.20%,0.0,,,
111.0,LS,99000.0,"상승  1,000",+1.02%,5000.0,244807.0,182460.0,8997.0
112.0,포스코DX,20550.0,상승  350,+1.73%,500.0,14859.0,8898.0,1106.0
113.0,JB금융지주,15780.0,상승  80,+0.51%,5000.0,41938.0,634040.0,8000.0
114.0,한화솔루션,17660.0,하락  220,-1.23%,5000.0,132887.0,244929.0,6045.0
115.0,엘앤에프,83300.0,"상승  1,700",+2.08%,500.0,46441.0,33514.0,-2223.0
116.0,키움증권,113900.0,"하락  1,400",-1.21%,5000.0,95448.0,520464.0,5647.0
117.0,현대건설,25850.0,보합0,0.00%,5000.0,296514.0,237145.0,7854.0
118.0,현대제철,21300.0,하락  50,-0.23%,5000.0,259148.0,352188.0,7983.0
119.0,CJ,97200.0,상승  100,+0.10%,5000.0,413527.0,472038.0,20391.0
120.0,KODEX 종합채권(AA-이상)액티브,116540.0,하락  115,-0.10%,0.0,,,
121.0,동서,27150.0,상승  400,+1.50%,500.0,4897.0,16940.0,438.0
122.0,TIGER 미국필라델피아반도체나스닥,20010.0,상승  465,+2.38%,0.0,,,
123.0,금호석유,93200.0,상승  100,+0.11%,5000.0,63225.0,79797.0,3590.0
124.0,롯데케미칼,59300.0,하락  600,-1.00%,5000.0,199464.0,334763.0,-3477.0
125.0,KODEX 레버리지,14795.0,상승  415,+2.89%,0.0,,,
126.0,휠라홀딩스,40250.0,상승  50,+0.12%,1000.0,40066.0,49801.0,3035.0
127.0,KODEX 200TR,11620.0,상승  185,+1.62%,0.0,,,
128.0,F&F,60600.0,"상승  1,200",+2.02%,100.0,19785.0,20051.0,5518.0
129.0,농심,369500.0,"하락  11,500",-3.02%,5000.0,34106.0,32348.0,2121.0
130.0,에스원,59000.0,"상승  1,000",+1.72%,500.0,26208.0,21795.0,2126.0
131.0,현대해상,24950.0,하락  50,-0.20%,500.0,159145.0,440880.0,7882.0
132.0,롯데지주,21250.0,보합0,0.00%,200.0,151598.0,231604.0,4937.0
133.0,RISE 머니마켓액티브,53505.0,상승  5,+0.01%,0.0,,,
134.0,한온시스템,4090.0,상승  65,+1.61%,100.0,95593.0,92444.0,2773.0
135.0,대한전선,11690.0,상승  40,+0.34%,1000.0,28440.0,18786.0,798.0
136.0,한화생명,2490.0,하락  10,-0.40%,5000.0,227824.0,1479018.0,10570.0
137.0,한전기술,55700.0,"상승  1,000",+1.83%,200.0,5451.0,8550.0,286.0
138.0,아시아나항공,10250.0,하락  160,-1.54%,5000.0,76233.0,130167.0,6199.0
139.0,산일전기,69300.0,"상승  1,300",+1.91%,500.0,2145.0,1913.0,466.0
140.0,TIGER MSCI Korea TR,13910.0,상승  225,+1.64%,0.0,,,
141.0,한올바이오파마,40100.0,보합0,0.00%,500.0,1349.0,2397.0,22.0
142.0,KCC,233500.0,"상승  3,000",+1.30%,5000.0,62884.0,133535.0,3125.0
143.0,한화,27550.0,하락  50,-0.18%,5000.0,531348.0,2097381.0,24119.0
144.0,SK가스,223500.0,"하락  4,000",-1.76%,5000.0,69923.0,60818.0,3036.0
145.0,에이피알,53800.0,하락  300,-0.55%,100.0,5238.0,2873.0,1042.0
146.0,한미사이언스,29900.0,상승  50,+0.17%,500.0,12479.0,12262.0,1245.0
147.0,CJ대한통운,87800.0,"상승  2,700",+3.17%,5000.0,117679.0,93576.0,4802.0
148.0,녹십자,169500.0,상승  100,+0.06%,5000.0,16266.0,26433.0,344.0
149.0,한전KPS,43850.0,하락  100,-0.23%,200.0,15339.0,15973.0,1994.0
150.0,TIGER 미국배당다우존스,12900.0,상승  80,+0.62%,0.0,,,
151.0,제일기획,17020.0,하락  110,-0.64%,200.0,41383.0,28895.0,3075.0
152.0,HL만도,41550.0,"상승  1,150",+2.85%,1000.0,83931.0,62867.0,2793.0
153.0,TIGER 200,33160.0,상승  495,+1.52%,0.0,,,
154.0,현대엘리베이,49050.0,"하락  1,750",-3.44%,5000.0,26021.0,35354.0,826.0
155.0,씨에스윈드,45300.0,상승  550,+1.23%,500.0,15202.0,28326.0,1047.0
156.0,코스모신소재,57900.0,"상승  2,100",+3.76%,1000.0,6296.0,6727.0,323.0
157.0,영원무역,42150.0,상승  650,+1.57%,500.0,36044.0,52971.0,6371.0
158.0,아모레G,22600.0,"상승  1,350",+6.35%,500.0,40213.0,76314.0,1520.0
159.0,KODEX 코스닥150레버리지,7290.0,상승  70,+0.97%,0.0,,,
160.0,팬오션,3445.0,상승  45,+1.32%,1000.0,43610.0,78539.0,3859.0
161.0,이수페타시스,29100.0,상승  650,+2.28%,1000.0,6753.0,6264.0,622.0
162.0,BGF리테일,105100.0,"상승  1,500",+1.45%,1000.0,81948.0,32191.0,2532.0
163.0,KODEX CD1년금리플러스액티브(합성),1022355.0,상승  110,+0.01%,0.0,,,
164.0,ACE 미국30년국채액티브(H),7790.0,하락  75,-0.95%,0.0,,,
165.0,SK아이이테크놀로지,24850.0,"상승  1,250",+5.30%,1000.0,6496.0,40838.0,320.0
166.0,이마트,63000.0,상승  300,+0.48%,5000.0,294722.0,334439.0,-469.0
167.0,더존비즈온,57700.0,"하락  3,600",-5.87%,500.0,3536.0,8833.0,691.0
168.0,KODEX 미국나스닥100TR,20920.0,상승  290,+1.41%,0.0,,,
169.0,TIGER 차이나전기차SOLACTIVE,9085.0,상승  55,+0.61%,0.0,,,
170.0,한화인더스트리얼솔루션즈,33000.0,하락  50,-0.15%,500.0,,,
171.0,ACE 미국S&P500,21985.0,상승  230,+1.06%,0.0,,,
172.0,코스맥스,143700.0,"하락  1,200",-0.83%,500.0,17775.0,15571.0,1157.0
173.0,한국앤컴퍼니,16910.0,하락  40,-0.24%,500.0,10897.0,46410.0,2566.0
174.0,KODEX 단기채권PLUS,113140.0,상승  30,+0.03%,0.0,,,
175.0,오뚜기,390500.0,"상승  1,000",+0.26%,5000.0,34545.0,34965.0,2549.0
176.0,코리안리,7890.0,하락  90,-1.13%,500.0,69633.0,120663.0,3637.0
177.0,한화엔진,18320.0,하락  10,-0.05%,1000.0,8544.0,11369.0,87.0
178.0,GS건설,17820.0,하락  130,-0.72%,5000.0,134367.0,177073.0,-3879.0
179.0,롯데쇼핑,53400.0,상승  200,+0.38%,5000.0,145559.0,306447.0,5084.0
180.0,DB하이텍,33950.0,상승  900,+2.72%,5000.0,11542.0,20434.0,2654.0
181.0,호텔신라,38100.0,하락  50,-0.13%,5000.0,35685.0,30065.0,912.0
182.0,에스디바이오센서,11950.0,"상승  1,120",+10.34%,500.0,6557.0,37888.0,-2481.0
183.0,풍산,52600.0,하락  600,-1.13%,5000.0,41253.0,36606.0,2286.0
184.0,대웅제약,125300.0,"하락  1,900",-1.49%,2500.0,13753.0,17703.0,1226.0
