CNT,LOTID,WNO,REFX,REFY,WSIZE,FZ,CX,CY,FX,FY,STIME,ETIME,EQPID,DEVICE,CUSTOMER,PCID,OPID,PROGRAMNAME,GOODFLAG,SORTFLAG,TMODE,PARA,R1,R2,R3,R4,R5,SI,SCNT,SCT,SIT,STOPTIME,DT,RT,SAT,REPBINPER,SHOT,TESTDIE,GOOD,FAIL,BIN1,BIN2,BIN3,BIN4,BIN5,BIN6,BIN7,BIN8,BIN9,BIN10,BIN11,BIN12,BIN13,BIN14,BIN15,BIN16,BIN17,BIN18,BIN19,BIN20,BIN21,BIN22,BIN23,BIN24,BIN25,BIN26,BIN27,BIN28,BIN29,BIN30,BIN31,BIN32,BIN33,BIN34,BIN35,BIN36,BIN37,BIN38,BIN39,BIN40,BIN41,BIN42,BIN43,BIN44,BIN45,BIN46,BIN47,BIN48,BIN49,BIN50,BIN51,BIN52,BIN53,BIN54,BIN55,BIN56,BIN57,BIN58,BIN59,BIN60,BIN61,BIN62,BIN63,BIN64,BIN65,BIN66,BIN67,BIN68,BIN69,BIN70,BIN71,BIN72,BIN73,BIN74,BIN75,BIN76,BIN77,BIN78,BIN79,BIN80,BIN81,BIN82,BIN83,BIN84,BIN85,BIN86,BIN87,BIN88,BIN89,BIN90,BIN91,BIN92,BIN93,BIN94,BIN95,BIN96,BIN97,BIN98,BIN99,BIN100,BIN101,BIN102,BIN103,BIN104,BIN105,BIN106,BIN107,BIN108,BIN109,BIN110,BIN111,BIN112,BIN113,BIN114,BIN115,BIN116,BIN117,BIN118,BIN119,BIN120,BIN121,BIN122,BIN123,BIN124,BIN125,BIN126,BIN127,BIN128,OD,REALDIE,AVGCTIME,AVGITIME,SUMLOSSTIME,WTIME,BOSTID,PCT,ZHEIGHT,ZMOVE,PTEMP
0,13AN30,14,19,29,8,5,2100,2100,-78944,-54625,20240111232317,20240112000432,IPST802,SM3010A_V,SI-MITUS,SM3010P2-A0118,223098,SM3010AV_FR18P2_BBC_R190,1,P2,NORMAL,18,0,0,78,0,68,200,0,1849.67,327.41,0,0,296.73,0,100,426,6502,6340,162,6340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,2,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,130,6426,4.385,0.686,0,41.25,,15.9,23214,500,30
0,GPVHT00000,1,236,21,12,5,980,1460,84340,-116186,20240111214822,20240112000556,IPST014,NO3S001_01,WISOL,NO3S001_01-A0225-R2,224062,NO3S001_01_25P_FT_R007,1,NORMAL,ALLBIN,25,22,0,46795,0,1954,50,0,718.27,1574.56,3244.67,0,2629.09,0,0,1934,46855,1,46854,1,28,0,0,0,0,0,0,0,5,20,46801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,46855,0,0,3244.67,137.57,,46.51,26462,-500,30
0,60RZ83,25,17,18,8,5,3750,3750,-71698,-63552,20240111215942,20240112001410,IPS52T008,SM5714A,SI-MITUS,SM5714-A02E,223098,SM5714A_FR08_BBA_R902,1,NORMAL,ALLBIN,8,31,0,124,0,125,200,0,6354.02,132.77,0,0,1580.02,0,43.23,321,1978,1827,151,1827,0,30,0,0,0,9,1,0,1,0,0,0,17,0,0,0,5,0,1,4,6,2,0,2,0,4,0,1,4,2,0,2,0,10,10,1,0,0,1,6,0,2,2,20,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1978,20.404,0.279,0,134.47,,13.95,23206,500,30
0,13AD65,6,19,29,8,5,2100,2100,-79043,-54317,20240111233901,20240112001706,IPST018,SM3010A_X,SI-MITUS,SM3010P2-A0318,523215,SM3010AX_FR18P2_BBC_R190,1,P2,NORMAL,18,0,0,46,0,46,200,0,1845.39,248.44,0,0,191.04,0,100,426,6502,6315,187,6315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2,1,7,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,120,6413,4.381,0.464,0,38.08,,15.47,22948,500,30
0,139Q28,23,19,29,8,5,2100,2100,-78927,-54630,20240111234555,20240112002635,IPS52T002,SM3010_S,SI-MITUS,SM3010P1-A0418,224062,SM3010S_FR18P1_LBD_R182,1,P1,ALLBIN,18,4,0,37,0,39,200,0,2068.02,236.29,0,0,134.01,0,51.22,426,6502,6431,71,6431,0,4,0,1,30,8,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,4,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,6502,4.93,0.413,0,40.67,,14.11,23342,500,30
0,13A622,24,19,29,8,5,2100,2100,-78940,-54623,20240111234950,20240112002854,IPST803,SM3010_S,SI-MITUS,SM3010P1-A0118,523225,SM3010S_FR18P1_BBD_R182,1,P1,ALLBIN,18,1,0,10,0,11,200,0,2066.26,239.98,0,0,36.52,0,9.09,426,6502,6446,56,6446,0,1,3,0,20,8,1,0,1,5,0,0,0,1,0,0,0,0,0,0,1,4,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,6502,4.927,0.418,0,39.07,,14.11,23355,500,30
0,60T5YP,5,17,18,8,5,3750,3750,-71703,-63551,20240111222322,20240112002945,IPS52T017,SM5714A,SI-MITUS,SM5714-A01E,523225,SM5714A_FR08_BBA_R902,1,NORMAL,ALLBIN,8,4,0,62,0,64,200,0,6524.48,128.44,0,0,928.14,0,50,321,1978,1886,92,1886,0,4,0,0,0,4,0,0,1,0,0,0,20,1,0,1,2,0,0,2,3,0,0,0,3,3,0,0,1,1,0,0,1,6,7,0,0,0,0,0,0,4,0,17,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,1978,20.407,0.274,0,126.38,,14,23858,500,30
0,N22954.1,16,116,12,8,5,460,650,-43491,-88725,20240111231221,20240112002956,AT200,NL2A003,NRLAB,NL2A003-A0164,222110,NL2A003_64P_CP_R001,1,NORMAL,ALLBIN,64,184,0,0,0,26,50,0,1471.92,2742.41,371.02,0,60.22,0,0,1728,97162,78044,19118,78044,184,0,16410,0,0,1188,645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,97162,0.898,1.688,371.02,77.58,,20.08,22157,500,30
0,YFL0503,3,37,6,8,5,2620,2970,0,-80045,20240111223959,20240112004357,AT203,HL7132FWL01,HALOMICRO,HL7132FT-A0608,220078,HL7132FWL01_402_V05_T08,1,NORMAL,ALLBIN,8,0,0,20,0,19,0,0,6990.41,269.73,0,0,174.63,0,0,486,3597,3470,127,3470,0,0,0,0,9,20,0,0,0,32,1,0,0,0,0,0,2,4,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,4,0,11,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3597,14.581,0.416,0,123.97,,15.17,31641,500,30.2
0,60T4NW,5,17,18,8,5,3750,3750,-71696,-63564,20240111223235,20240112004517,IPS52T016,SM5714A,SI-MITUS,SM5714-A20E,523225,SM5714A_FR08_BBA_R902,1,NORMAL,ALLBIN,8,6,0,117,0,104,200,0,6479.59,127.33,0,0,1354.73,0,38.21,321,1978,1824,154,1824,0,6,0,0,0,12,1,1,1,4,0,0,15,0,0,1,8,0,0,2,17,1,0,2,3,2,0,1,4,1,0,2,0,21,5,3,0,0,1,4,3,3,1,20,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1978,20.388,0.271,0,132.7,,13.97,23498,500,30
